amount_usd,merchant_category,card_type,auth_method,channel,device_type,is_foreign_transaction,hours_since_last_txn,txn_count_last_24h,distance_from_home_km,card_age_months,customer_age,account_balance_usd,is_new_merchant,used_vpn,ip_country_mismatch,billing_shipping_mismatch,cvv_retry_count,velocity_score,time_of_day_hour,day_of_week,is_ai_generated_scam_attempt,merchant_risk_score,prior_disputes
16.15,Gift Cards,Amex,OTP,ATM,ATM Machine,False,4.63,3,3.82,44,69,4549.0,True,False,False,False,0,17.5,15,4,False,79.1,0
130.88,Fuel,Visa,OTP,Contactless,iPhone,False,13.16,1,19.0,54,28,3101.71,False,False,False,False,0,8.6,20,0,False,39.6,0
30.47,Healthcare,Visa,OTP,In-App,Windows PC,False,4.34,5,7.72,48,18,2435.86,False,False,False,False,1,11.5,18,0,False,64.6,0
22.82,Online Retail,Visa,No Authentication,Online,Windows PC,False,11.76,2,31.3,47,69,704.73,False,False,False,False,0,4.3,12,3,False,40.8,1
38.06,Restaurants,Mastercard,No Authentication,In-App,Android Phone,False,2.94,1,11.5,40,39,674.9,False,False,False,False,0,21.8,19,2,False,49.8,0
44.56,Online Retail,Visa,3D Secure,Online,POS Terminal,False,17.72,3,4.58,54,71,3315.95,False,False,False,False,0,0.0,10,5,True,43.0,0
38.97,Online Retail,Mastercard,Biometric,POS,iPhone,False,9.98,0,11.1,44,74,1256.14,False,False,False,False,0,14.0,10,1,False,48.9,0
154.69,Restaurants,Mastercard,OTP,In-App,Android Phone,False,4.18,1,12.19,34,47,8749.96,False,False,False,False,1,6.9,18,2,False,30.4,0
22.28,Electronics,Mastercard,PIN,POS,Android Phone,True,8.48,4,1.32,44,44,1275.87,False,False,False,False,0,27.0,21,6,False,46.3,0
43.18,Utilities,Discover,Biometric,Online,Tablet,False,1.29,3,2.16,42,77,4237.58,False,True,False,False,0,34.6,3,6,False,34.3,0
311.92,Gaming,Visa,No Authentication,Contactless,Smart Watch,False,2.81,4,7.42,40,33,721.45,True,False,False,False,0,33.6,23,6,False,59.7,0
79.8,Restaurants,Amex,3D Secure,POS,POS Terminal,False,0.96,3,14.24,45,70,3464.73,False,False,False,False,0,31.5,4,3,False,35.7,0
9.52,Gaming,Visa,3D Secure,POS,Android Phone,False,16.06,4,9.49,62,37,437.76,False,False,True,False,0,21.6,11,3,False,58.9,0
138.22,Travel,Visa,Biometric,Online,iPhone,False,15.34,3,9.2,38,42,4346.68,False,False,False,False,0,16.3,8,3,False,33.7,0
228.58,Electronics,Visa,PIN,Contactless,POS Terminal,False,3.92,4,7.86,41,68,1089.84,True,False,False,False,0,26.8,0,4,False,63.1,0
99.94,Fuel,Visa,3D Secure,Online,Windows PC,False,7.52,6,9.07,47,57,430.77,False,False,False,False,0,33.9,6,1,False,29.4,0
120.52,Crypto Exchange,Visa,3D Secure,Online,Android Phone,True,7.31,3,12.01,54,47,838.58,False,False,True,False,0,11.0,8,1,False,62.9,0
12.38,Fuel,Visa,OTP,Contactless,ATM Machine,False,8.2,4,7.18,45,65,416.6,False,False,False,False,0,17.6,12,2,False,11.5,0
72.82,Restaurants,Mastercard,No Authentication,In-App,Tablet,False,17.38,1,9.95,55,72,520.17,False,False,False,False,0,5.4,4,6,False,13.4,0
116.28,Groceries,Mastercard,Biometric,Online,POS Terminal,False,9.28,1,4.5,41,35,4293.93,False,True,False,False,0,14.5,21,2,False,39.2,0
49.51,Groceries,RuPay,PIN,POS,Tablet,False,9.31,4,16.64,46,49,3918.49,True,True,False,False,0,33.4,21,2,False,48.6,0
481.26,Travel,RuPay,PIN,Online,Smart Watch,False,9.57,2,26.82,37,27,1467.15,False,False,False,False,0,7.8,7,4,False,21.2,0
218.8,Gaming,Mastercard,Biometric,Online,POS Terminal,False,20.37,3,21.33,44,81,2582.35,False,False,False,False,1,14.3,13,1,False,65.0,1
4.33,Groceries,Visa,No Authentication,Online,POS Terminal,False,4.66,3,28.95,53,57,7388.35,False,False,False,False,0,5.2,13,5,False,19.7,0
41.31,Groceries,Mastercard,Biometric,POS,Windows PC,False,5.94,3,29.38,47,33,1077.9,False,False,False,False,0,30.1,7,5,False,23.3,0
19.26,Fuel,Visa,Biometric,Online,iPhone,False,17.96,1,13.18,36,61,6534.81,False,False,False,True,0,1.0,13,1,False,43.5,0
40.11,Healthcare,Mastercard,3D Secure,Online,Android Phone,False,0.27,1,18.23,55,41,780.62,False,False,False,False,0,19.8,9,5,False,41.8,1
12.84,Gaming,Mastercard,OTP,In-App,Windows PC,False,14.82,1,27.9,50,44,449.07,False,False,False,False,0,7.3,13,5,False,51.9,1
33.49,Healthcare,Amex,Biometric,Contactless,Mac,False,2.05,8,26.82,46,69,3502.6,False,True,False,False,1,36.3,10,3,False,54.0,0
146.02,Streaming,Mastercard,PIN,Contactless,Android Phone,False,34.87,4,17.53,41,21,876.49,False,False,False,False,0,34.5,19,3,False,7.2,0
177.81,Travel,Mastercard,No Authentication,POS,ATM Machine,False,1.48,0,9.64,52,74,3019.56,False,False,False,False,0,13.9,15,3,False,33.4,0
124.42,Utilities,Amex,PIN,Online,Mac,False,10.86,0,6.6,58,50,20378.47,True,False,False,False,0,13.0,22,1,False,21.4,0
32.24,Restaurants,RuPay,3D Secure,Online,Android Phone,False,41.78,0,30.76,46,56,1766.19,False,False,False,False,1,0.0,16,3,False,55.8,0
156.22,Groceries,Visa,PIN,Online,Android Phone,True,3.23,3,20.23,41,23,11731.75,False,False,True,False,1,21.1,21,0,False,29.4,0
48.09,Groceries,Visa,OTP,POS,Android Phone,False,7.8,5,14.96,44,58,3782.67,False,False,False,False,0,25.4,10,0,False,39.7,1
